popularity,vote_count,release_year,cluster
82.407,11989,1981,1
20.122,535,2016,0
126.232,11925,2016,1
60.815,1768,2021,0
16.279,649,1972,2
26.73,1282,1966,2
47.666,2787,2021,0
10.602,573,1997,0
29.897,1010,1954,2
46.117,1671,1940,2
104.551,4192,1992,2
79.244,1238,2021,0
23.936,1303,1994,0
81.782,8140,2013,1
38.103,1601,2019,0
26.503,917,2016,0
14.078,323,1987,2
168.7,6960,1995,1
315.26,3622,1974,1
221.633,20269,2015,1
37.02,1407,2013,0
41.163,2112,2007,0
155.429,26494,2001,1
16.035,404,2018,0
112.009,9285,1998,1
49.554,6211,2016,0
24.536,1189,2003,0
38.727,1868,2007,0
70.505,2728,2022,0
79.951,11148,2001,1
59.269,27377,2014,1
24.767,1058,1973,2
22.415,1342,2016,0
227.934,24587,1997,1
26.117,584,2022,0
18.087,357,2015,0
73.719,16284,2016,1
63.975,9544,2006,1
82.476,3285,2021,0
20.117,747,2017,0
9.377,418,2008,0
58.898,14038,2006,1
51.7,1164,2022,0
11.296,2816,2018,0
87.406,9125,2017,1
172.736,15139,1983,1
43.946,1320,2020,0
27.053,1664,1993,2
36.048,613,2021,0
18.04,1643,2011,0
17.692,424,1961,2
22.67,1501,1955,2
136.168,18044,2014,1
23.917,336,1955,2
91.481,2627,1959,2
52.972,953,2018,0
26.176,822,1982,2
107.172,716,2023,0
52.949,2138,2019,0
99.23,11091,2004,1
32.93,901,1955,2
17.776,445,2020,0
94.001,6020,2019,0
21.32,347,1928,2
57.52,1938,1953,2
22.289,989,1939,2
58.224,3024,1974,2
33.32,1764,2013,0
27.119,489,1969,2
15.738,497,2000,0
52.301,13401,2004,1
153.578,4170,2021,1
57.947,630,2010,0
10.279,347,1990,2
16.722,323,1926,2
22.681,842,1962,2
41.642,3220,2014,0
111.501,7477,2009,1
109.501,2196,2016,0
29.629,1697,2000,0
43.119,4254,2016,0
22.801,1942,2018,0
11.529,394,1962,2
159.279,3560,2022,0
78.11,6543,2021,0
17.011,709,1966,2
30.113,637,1952,2
58.488,3664,2004,0
211.593,7717,1996,1
23.466,1009,2003,0
20.927,388,2019,0
17.498,474,2013,0
57.157,440,2022,0
19.236,686,1962,2
39.406,594,1976,2
17.009,462,2020,0
130.205,13851,2013,1
55.899,2320,1993,0
84.821,9868,2001,1
15.832,1226,2017,0
18.039,753,1927,2
161.118,2328,2023,0
38.395,1047,2022,0
35.511,503,2018,0
28.126,2201,2016,0
33.569,10324,2014,1
17.023,467,2019,0
15.596,650,1937,2
21.611,413,1963,2
250.144,5605,1986,1
29.577,672,1973,2
131.441,11795,2019,1
21.922,792,2017,0
60.549,1880,2009,0
51.485,1822,1973,2
47.678,4035,1990,2
23.424,466,2019,0
52.425,4666,2018,0
13.94,789,2008,0
17.251,670,1942,2
70.344,9744,1989,1
12.255,324,2021,0
21.0,398,2021,0
42.346,872,2019,0
52.002,4352,2011,0
