popularity,vote_count
12.363,530
22.273,387
20.15,327
30.707,2088
90.06,7656
46.686,2687
46.347,348
65.172,696
30.285,6568
195.291,6537
187.181,9138
164.624,11023
29.537,925
59.274,859
34.336,3037
32.811,341
27.553,892
27.004,559
68.667,2004
39.127,3387
145.487,8022
24.453,1454
55.415,2685
70.276,15039
333.223,17204
16.407,516
56.574,1396
31.318,1455
35.844,1993
19.588,853
49.465,416
61.36,4017
47.61,3690
45.869,10894
17.077,477
43.01,898
16.158,1672
38.358,1223
44.641,3143
29.95,1140
138.264,13383
44.746,5618
393.367,20157
191.104,21625
50.292,4705
21.073,1029
38.385,1449
28.115,362
165.8,978
28.443,1083
59.141,980
85.393,5169
25.072,856
27.568,883
27.539,917
73.566,550
25.091,652
44.305,1357
39.209,954
23.147,673
46.69,7758
89.788,12348
71.936,6595
79.298,3720
72.821,5321
12.329,352
22.679,420
26.006,648
39.653,1134
31.321,445
160.516,30785
49.039,315
43.039,974
32.636,312
37.38,3259
12.707,1563
32.887,1926
28.255,400
22.158,1234
14.912,869
78.511,4508
32.754,3380
100.929,12179
15.414,418
24.854,433
17.282,319
89.209,482
23.223,1142
77.142,2814
92.366,5315
12.457,301
60.275,1889
79.902,12708
23.748,1114
226.53,12819
24.886,976
22.697,641
28.659,526
46.66,515
64.978,2471
26.957,381
28.376,2193
23.078,310
35.56,11951
31.278,1841
37.001,498
84.735,4376
41.431,3561
73.152,5463
26.075,1251
66.888,7225
19.633,708
22.234,1123
10.179,781
89.116,6271
12.791,328
31.796,764
29.099,2106
25.491,1357
34.546,631
111.95,8978
158.818,13047
33.387,1200
29.565,2694
17.483,328
30.608,591
100.518,6422
94.575,6066
131.986,3180
75.841,2360
18.473,534
15.633,300
20.573,779
100.798,10331
19.711,315
35.707,3627
224.224,5313
26.731,430
150.702,3356
32.546,1905
28.076,444
12.203,930
21.168,307
75.586,7248
74.897,8739
91.172,2047
33.148,1530
20.78,2306
33.499,6660
20.281,606
35.101,1337
72.623,5647
53.357,865
53.465,2208
180.686,2952
82.428,371
6.506,984
15.892,345
31.364,1720
120.929,10368
26.358,1584
22.484,713
52.287,2564
128.601,3998
84.492,7317
14.651,550
23.341,763
114.273,3140
44.543,2137
22.293,2482
159.692,11102
33.392,759
29.103,4247
14.382,533
31.288,1134
14.354,363
36.86,1820
56.223,2089
56.161,1084
60.363,8086
165.943,2591
45.895,501
14.137,348
27.914,537
13.089,320
24.467,767
11.126,617
9.965,527
14.459,691
24.05,920
25.409,1546
108.233,1454
28.094,841
31.019,467
48.91,7083
30.956,2801
31.733,1569
60.799,3390
20.993,1258
32.89,1663
12.029,584
59.23,3485
39.685,765
33.596,333
24.828,587
24.357,1501
41.31,318
42.822,2823
14.913,343
27.731,748
138.198,17636
22.126,523
199.555,8190
17.775,971
13.112,832
48.345,1614
15.801,846
32.241,1214
142.449,11504
131.12,14837
32.847,2853
123.816,5932
18.133,534
91.384,3759
75.54,650
27.353,977
42.929,5316
142.26,548
53.115,3891
35.51,2643
15.284,490
25.838,1736
15.725,474
54.624,1687
327.468,7685
69.329,2017
80.796,10071
43.493,5446
138.61,4679
55.005,302
46.887,1180
22.311,800
37.758,1231
37.93,647
34.17,736
31.065,1837
90.93,5489
15.517,351
640.652,1256
24.24,893
75.833,5257
51.781,10851
25.758,338
78.053,4603
86.467,7309
45.935,4025
27.155,667
39.64,2277
29.224,702
71.279,1322
48.727,1120
50.048,2593
14.179,303
64.812,1623
13.75,616
19.195,452
203.185,8235
17.612,442
22.563,864
24.621,734
18.872,433
69.807,2789
21.507,374
22.321,516
18.305,400
63.48,790
13.141,1068
18.465,1188
14.932,545
22.847,569
27.016,2995
26.722,491
170.965,4987
27.321,824
21.801,748
115.662,7089
73.896,3401
31.943,2149
23.742,972
29.628,1029
25.423,3201
22.823,733
79.928,4399
38.496,478
18.588,333
20.571,989
22.266,1516
82.166,11388
177.624,9441
13.476,443
35.948,2752
17.565,417
28.544,407
25.884,447
63.708,5655
33.154,1531
39.663,5604
27.913,1096
34.195,834
25.533,486
23.5,367
77.177,6044
24.074,364
84.381,2204
66.247,3669
26.684,2968
33.172,321
26.563,402
34.733,1478
26.307,2741
155.897,2820
27.785,1217
105.52,4128
66.151,3576
54.961,14810
17.057,344
17.799,1036
157.605,5959
14.215,594
41.94,1973
168.403,1050
20.199,1208
126.489,2052
32.193,599
40.575,440
63.019,2787
24.405,616
74.185,4884
17.561,560
24.251,797
320.786,17010
31.601,365
19.857,373
36.818,506
22.75,4214
52.338,7560
24.151,524
72.122,1376
25.512,790
23.488,495
13.643,456
13.226,418
29.53,4381
262.065,8577
54.687,760
26.983,955
30.429,900
72.017,1956
17.288,960
89.734,425
22.419,498
164.831,5881
12.083,360
12.042,1202
27.488,400
13.481,448
12.205,876
31.579,458
16.949,322
47.62,1537
34.145,3902
128.591,5576
19.591,923
46.645,393
118.45,1875
18.027,380
58.152,6336
22.472,445
8.745,332
5.979,1290
46.487,1488
13.457,495
13.052,1160
32.84,2867
30.192,345
15.341,818
35.825,1090
23.387,698
14.034,425
15.601,368
13.95,335
20.038,460
19.119,557
26.855,358
16.433,314
19.654,764
11.486,362
81.802,881
12.932,451
20.752,890
44.389,10109
113.428,2222
15.399,326
32.274,1722
159.565,12454
47.58,2180
39.088,1569
33.314,1638
13.042,502
5.861,1204
21.086,1009
57.05,8948
31.989,662
30.978,1031
25.017,583
69.364,12485
23.233,343
112.006,7865
127.799,1180
12.819,354
51.163,4025
33.057,1955
67.793,2493
11.344,537
43.605,718
11.078,465
53.242,4913
12.991,402
68.565,474
23.331,333
32.374,826
31.243,1056
13.038,1769
21.829,390
74.728,2330
16.839,579
16.029,617
22.443,1378
22.996,1562
57.061,1597
24.424,1121
20.077,426
23.915,759
27.36,2687
43.229,1429
4.725,2170
22.609,1380
18.424,375
25.564,530
21.228,652
73.608,2230
53.954,1731
83.77,2933
20.11,499
69.972,3143
19.119,401
25.783,1824
28.347,581
22.893,477
100.025,5671
137.225,15989
15.751,486
50.024,4880
66.363,5710
23.032,1319
91.658,7834
27.814,386
26.284,544
21.139,597
29.185,558
317.917,2195
51.316,2504
5.971,336
37.366,867
14.882,397
138.979,566
33.94,1425
44.348,785
278.312,15152
46.206,1745
16.579,594
25.282,705
47.788,1720
12.636,460
78.252,5196
43.558,3034
16.323,455
57.042,1885
35.967,465
13.507,522
38.957,3192
21.165,403
20.704,720
40.872,1026
62.772,2851
17.202,1233
22.868,1279
20.188,403
43.629,1080
84.283,10206
117.359,22128
20.976,984
32.204,1530
74.151,12883
16.619,1025
35.081,1198
76.712,11197
16.163,426
118.062,3970
72.842,6181
14.129,458
13.874,453
24.326,361
30.204,644
17.635,2439
72.104,9115
22.063,594
37.979,7424
27.279,589
18.695,818
37.065,2656
25.731,777
15.461,774
44.307,745
27.265,372
59.906,1022
40.408,1342
233.381,4967
22.363,1339
19.885,1266
91.456,1218
620.061,501
61.129,4111
85.222,4116
15.838,659
150.371,9596
32.802,1160
114.549,15104
80.167,12498
15.657,335
31.039,859
7.375,10793
72.751,3024
27.676,849
21.497,356
88.706,4281
34.129,1688
54.079,824
17.843,427
37.205,1604
19.379,389
90.864,18606
29.912,815
29.608,527
9.093,1763
68.171,16859
27.544,391
22.847,1327
48.672,7371
61.916,1757
22.124,718
106.553,2396
16.584,648
150.122,5929
16.436,480
162.333,7886
38.565,1144
34.04,776
26.913,1928
16.753,547
20.268,1221
78.468,480
37.922,1791
53.474,13237
32.812,1155
335.547,21528
12.58,466
233.536,1195
9.416,857
66.983,2129
257.591,6619
38.741,3062
20.317,414
18.96,377
20.955,475
22.941,772
20.992,2011
13.825,344
15.841,439
48.222,691
12.527,326
47.949,1957
50.072,841
54.307,7534
15.297,318
35.042,939
23.129,844
18.644,807
43.763,1818
24.17,370
19.327,380
39.168,3444
65.551,8884
40.185,2616
36.467,1287
12.174,633
85.44,7188
31.238,1033
61.284,1420
27.675,4174
33.059,705
44.033,3242
22.779,485
40.817,2386
35.433,561
295.375,2768
29.057,910
37.459,458
67.002,1190
48.558,411
88.555,2757
15.527,322
17.579,647
38.872,457
17.159,652
49.512,2380
18.959,783
22.539,1716
38.668,566
109.737,6498
16.652,454
22.096,826
87.336,643
26.076,1503
41.329,561
97.943,4208
87.617,10429
52.33,3922
205.79,4325
46.213,1499
10.965,811
13.631,437
17.246,831
87.457,5569
31.973,749
15.793,648
24.191,2129
48.072,1520
17.742,384
33.535,1552
67.372,617
73.518,2436
19.923,978
59.013,12750
40.185,340
38.915,2587
293.297,1955
108.755,906
31.032,386
177.628,13539
66.756,1389
44.956,3636
26.551,520
17.647,919
85.985,11619
21.715,1333
23.022,849
248.129,6975
126.497,8227
31.763,398
43.112,555
16.484,341
9.132,977
22.031,932
31.415,1035
75.694,7032
9.917,948
14.146,1187
33.493,2469
43.521,959
380.859,4917
38.473,6840
35.464,1846
114.258,10803
20.598,401
23.386,387
25.554,1248
52.099,3103
40.811,2281
14.851,641
46.306,4201
100.849,5463
29.296,401
26.716,397
21.573,975
29.009,1895
22.431,1290
19.076,381
39.263,3364
68.369,2295
76.128,5595
15.678,511
375.667,21617
12.028,430
53.999,4913
48.987,842
44.777,3459
22.218,641
66.974,2986
42.125,785
27.18,622
104.697,6449
41.143,2398
21.508,767
82.141,3132
9.982,1199
52.552,3479
38.449,2928
62.452,2815
31.033,487
50.388,1422
27.356,388
20.882,454
44.69,1084
33.895,1082
32.082,783
28.104,896
145.929,1985
16.663,952
31.052,425
354.609,3336
21.747,675
77.256,5904
34.871,1308
21.78,544
46.558,408
33.372,489
16.361,836
13.495,356
30.234,1394
32.162,742
24.988,705
35.509,800
30.088,4092
53.206,1074
22.978,2609
20.766,446
29.286,636
116.588,5475
49.463,1373
151.254,4128
21.189,609
46.542,1181
22.471,912
21.111,313
50.559,11890
21.04,824
15.063,393
38.743,583
43.416,2289
17.502,635
87.105,1925
20.047,680
68.581,5331
70.146,6092
14.464,305
13.779,897
